horizon,segment_id,intervention_start,intervention_end,duration_hours,warning_hours,maximum_risk_probability,mean_risk_probability,matched_event_id,matched_event_start,lead_time_hours,useful_intervention
24h,16,2023-06-27 12:00:00+00:00,2023-06-27 12:00:00+00:00,1.0,1,0.7806050181388855,0.7806050181388855,,,,0
24h,16,2023-06-27 14:00:00+00:00,2023-06-27 14:00:00+00:00,1.0,1,0.19349250197410583,0.19349250197410583,,,,0
24h,16,2023-06-27 16:00:00+00:00,2023-06-27 16:00:00+00:00,1.0,1,0.2376868575811386,0.2376868575811386,,,,0
24h,16,2023-06-27 19:00:00+00:00,2023-06-27 21:00:00+00:00,3.0,3,0.35702547430992126,0.31301286816596985,,,,0
24h,16,2023-06-29 08:00:00+00:00,2023-06-29 12:00:00+00:00,5.0,5,0.25368624925613403,0.19621703028678894,,,,0
24h,16,2023-06-29 14:00:00+00:00,2023-06-29 16:00:00+00:00,3.0,3,0.23222333192825317,0.20474106073379517,,,,0
24h,16,2023-06-30 01:00:00+00:00,2023-06-30 01:00:00+00:00,1.0,1,0.16025632619857788,0.16025632619857788,,,,0
24h,16,2023-07-01 03:00:00+00:00,2023-07-01 05:00:00+00:00,3.0,3,0.20949335396289825,0.18865591287612915,,,,0
24h,16,2023-07-01 16:00:00+00:00,2023-07-01 18:00:00+00:00,3.0,3,0.36378616094589233,0.2842917740345001,32.0,2023-07-03 07:00:00+00:00,39.0,1
24h,16,2023-07-02 08:00:00+00:00,2023-07-02 12:00:00+00:00,5.0,5,0.5344159603118896,0.3838065266609192,32.0,2023-07-03 07:00:00+00:00,23.0,1
24h,16,2023-07-02 14:00:00+00:00,2023-07-02 15:00:00+00:00,2.0,2,0.20130616426467896,0.1868675798177719,32.0,2023-07-03 07:00:00+00:00,17.0,1
24h,16,2023-07-02 17:00:00+00:00,2023-07-02 17:00:00+00:00,1.0,1,0.3342646360397339,0.3342646360397339,32.0,2023-07-03 07:00:00+00:00,14.0,1
24h,16,2023-07-03 08:00:00+00:00,2023-07-03 13:00:00+00:00,6.0,6,0.7355369925498962,0.6235622763633728,33.0,2023-07-04 07:00:00+00:00,23.0,1
24h,16,2023-07-03 15:00:00+00:00,2023-07-03 18:00:00+00:00,4.0,4,0.6898965239524841,0.6038150191307068,33.0,2023-07-04 07:00:00+00:00,16.0,1
24h,16,2023-07-03 20:00:00+00:00,2023-07-03 21:00:00+00:00,2.0,2,0.8557308316230774,0.6447328329086304,33.0,2023-07-04 07:00:00+00:00,11.0,1
24h,16,2023-07-04 07:00:00+00:00,2023-07-05 08:00:00+00:00,26.0,26,0.954535961151123,0.7710692286491394,34.0,2023-07-05 12:00:00+00:00,29.0,1
24h,16,2023-07-05 11:00:00+00:00,2023-07-05 11:00:00+00:00,1.0,1,0.164169043302536,0.164169043302536,34.0,2023-07-05 12:00:00+00:00,1.0,1
24h,16,2023-07-05 14:00:00+00:00,2023-07-05 16:00:00+00:00,3.0,3,0.7603871822357178,0.5488575100898743,35.0,2023-07-06 19:00:00+00:00,29.0,1
24h,16,2023-07-06 20:00:00+00:00,2023-07-07 13:00:00+00:00,18.0,18,0.7295972108840942,0.40404021739959717,,,,0
24h,16,2023-07-07 15:00:00+00:00,2023-07-07 15:00:00+00:00,1.0,1,0.26673954725265503,0.26673954725265503,,,,0
24h,16,2023-07-07 17:00:00+00:00,2023-07-07 17:00:00+00:00,1.0,1,0.601326048374176,0.601326048374176,,,,0
24h,16,2023-07-07 19:00:00+00:00,2023-07-08 18:00:00+00:00,24.0,24,0.7546136379241943,0.5333354473114014,,,,0
24h,16,2023-07-09 10:00:00+00:00,2023-07-09 14:00:00+00:00,5.0,5,0.2676868438720703,0.2335241287946701,,,,0
24h,16,2023-07-11 01:00:00+00:00,2023-07-11 09:00:00+00:00,9.0,9,0.4125642478466034,0.2690798044204712,36.0,2023-07-11 19:00:00+00:00,18.0,1
24h,16,2023-07-11 11:00:00+00:00,2023-07-12 05:00:00+00:00,19.0,19,0.8687243461608887,0.5453095436096191,36.0,2023-07-11 19:00:00+00:00,8.0,1
24h,16,2023-07-12 07:00:00+00:00,2023-07-12 17:00:00+00:00,11.0,11,0.5058449506759644,0.3228625953197479,37.0,2023-07-12 11:00:00+00:00,4.0,1
24h,16,2023-07-12 19:00:00+00:00,2023-07-13 22:00:00+00:00,28.0,28,0.8037216067314148,0.4067813754081726,38.0,2023-07-13 08:00:00+00:00,13.0,1
24h,16,2023-07-14 00:00:00+00:00,2023-07-14 12:00:00+00:00,13.0,13,0.6138208508491516,0.34496456384658813,39.0,2023-07-14 19:00:00+00:00,19.0,1
24h,16,2023-07-14 19:00:00+00:00,2023-07-15 16:00:00+00:00,22.0,22,0.7951827645301819,0.4298918843269348,40.0,2023-07-16 03:00:00+00:00,32.0,1
24h,16,2023-07-15 21:00:00+00:00,2023-07-15 21:00:00+00:00,1.0,1,0.18569415807724,0.18569415807724,40.0,2023-07-16 03:00:00+00:00,6.0,1
24h,16,2023-07-16 03:00:00+00:00,2023-07-16 14:00:00+00:00,12.0,12,0.6142734289169312,0.37727609276771545,41.0,2023-07-16 15:00:00+00:00,12.0,1
24h,16,2023-07-16 16:00:00+00:00,2023-07-16 16:00:00+00:00,1.0,1,0.23895880579948425,0.23895880579948425,42.0,2023-07-18 03:00:00+00:00,35.0,1
24h,16,2023-07-16 18:00:00+00:00,2023-07-16 18:00:00+00:00,1.0,1,0.15664876997470856,0.15664876997470856,42.0,2023-07-18 03:00:00+00:00,33.0,1
24h,16,2023-07-16 20:00:00+00:00,2023-07-16 20:00:00+00:00,1.0,1,0.2250019758939743,0.2250019758939743,42.0,2023-07-18 03:00:00+00:00,31.0,1
24h,16,2023-07-17 02:00:00+00:00,2023-07-17 02:00:00+00:00,1.0,1,0.22100962698459625,0.22100962698459625,42.0,2023-07-18 03:00:00+00:00,25.0,1
24h,16,2023-07-17 06:00:00+00:00,2023-07-17 06:00:00+00:00,1.0,1,0.2406996488571167,0.2406996488571167,42.0,2023-07-18 03:00:00+00:00,21.0,1
24h,16,2023-07-17 09:00:00+00:00,2023-07-17 12:00:00+00:00,4.0,4,0.48337680101394653,0.3822321891784668,42.0,2023-07-18 03:00:00+00:00,18.0,1
24h,16,2023-07-17 22:00:00+00:00,2023-07-17 22:00:00+00:00,1.0,1,0.2110799103975296,0.2110799103975296,42.0,2023-07-18 03:00:00+00:00,5.0,1
24h,16,2023-07-18 00:00:00+00:00,2023-07-18 05:00:00+00:00,6.0,6,0.3309461176395416,0.21220706403255463,42.0,2023-07-18 03:00:00+00:00,3.0,1
24h,16,2023-07-18 10:00:00+00:00,2023-07-18 12:00:00+00:00,3.0,3,0.20550553500652313,0.18042391538619995,,,,0
24h,16,2023-07-18 15:00:00+00:00,2023-07-18 15:00:00+00:00,1.0,1,0.19536574184894562,0.19536574184894562,,,,0
24h,16,2023-07-18 17:00:00+00:00,2023-07-18 18:00:00+00:00,2.0,2,0.3281782269477844,0.28577160835266113,,,,0
24h,16,2023-07-18 21:00:00+00:00,2023-07-19 06:00:00+00:00,10.0,10,0.4927166998386383,0.32913005352020264,,,,0
24h,16,2023-07-19 11:00:00+00:00,2023-07-19 12:00:00+00:00,2.0,2,0.2176840454339981,0.19945603609085083,,,,0
24h,16,2023-07-19 16:00:00+00:00,2023-07-19 18:00:00+00:00,3.0,3,0.2339138686656952,0.20890049636363983,,,,0
24h,17,2023-07-23 07:00:00+00:00,2023-07-23 09:00:00+00:00,3.0,3,0.2149886190891266,0.1878550797700882,,,,0
24h,17,2023-07-28 02:00:00+00:00,2023-07-28 03:00:00+00:00,2.0,2,0.20479312539100647,0.17883265018463135,,,,0
24h,17,2023-08-02 06:00:00+00:00,2023-08-02 08:00:00+00:00,3.0,3,0.3703935742378235,0.2698761224746704,,,,0
24h,17,2023-08-04 19:00:00+00:00,2023-08-04 19:00:00+00:00,1.0,1,0.704246461391449,0.704246461391449,,,,0
24h,17,2023-08-04 21:00:00+00:00,2023-08-04 21:00:00+00:00,1.0,1,0.20786306262016296,0.20786306262016296,,,,0
24h,17,2023-08-09 20:00:00+00:00,2023-08-09 20:00:00+00:00,1.0,1,0.15378440916538239,0.15378440916538239,,,,0
24h,17,2023-08-12 19:00:00+00:00,2023-08-12 20:00:00+00:00,2.0,2,0.22699733078479767,0.2244485318660736,43.0,2023-08-13 06:00:00+00:00,11.0,1
24h,17,2023-08-12 22:00:00+00:00,2023-08-14 00:00:00+00:00,27.0,27,0.9852050542831421,0.6385219097137451,43.0,2023-08-13 06:00:00+00:00,8.0,1
24h,17,2023-08-14 02:00:00+00:00,2023-08-14 02:00:00+00:00,1.0,1,0.2103118896484375,0.2103118896484375,,,,0
24h,17,2023-08-14 06:00:00+00:00,2023-08-14 07:00:00+00:00,2.0,2,0.18427202105522156,0.17201068997383118,,,,0
24h,17,2023-08-16 06:00:00+00:00,2023-08-16 06:00:00+00:00,1.0,1,0.166844442486763,0.166844442486763,,,,0
24h,17,2023-08-16 08:00:00+00:00,2023-08-16 18:00:00+00:00,11.0,11,0.2889578342437744,0.21094799041748047,,,,0
24h,17,2023-08-17 01:00:00+00:00,2023-08-17 01:00:00+00:00,1.0,1,0.15555883944034576,0.15555883944034576,,,,0
24h,17,2023-08-17 07:00:00+00:00,2023-08-17 09:00:00+00:00,3.0,3,0.3248461186885834,0.2169351726770401,,,,0
24h,17,2023-08-21 02:00:00+00:00,2023-08-21 06:00:00+00:00,5.0,5,0.38120248913764954,0.3091605305671692,,,,0
24h,17,2023-08-21 09:00:00+00:00,2023-08-21 09:00:00+00:00,1.0,1,0.2232319861650467,0.2232319861650467,,,,0
24h,17,2023-08-29 03:00:00+00:00,2023-08-29 03:00:00+00:00,1.0,1,0.17066273093223572,0.17066273093223572,,,,0
24h,17,2023-08-29 10:00:00+00:00,2023-08-29 10:00:00+00:00,1.0,1,0.24116776883602142,0.24116776883602142,,,,0
24h,17,2023-08-29 18:00:00+00:00,2023-08-29 18:00:00+00:00,1.0,1,0.38471418619155884,0.38471418619155884,,,,0
24h,17,2023-09-01 01:00:00+00:00,2023-09-01 01:00:00+00:00,1.0,1,0.16849075257778168,0.16849075257778168,,,,0
24h,17,2023-09-01 08:00:00+00:00,2023-09-01 22:00:00+00:00,15.0,15,0.7091802358627319,0.4492229223251343,,,,0
24h,17,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,1.0,1,0.2743051052093506,0.2743051052093506,,,,0
24h,17,2023-09-07 03:00:00+00:00,2023-09-07 04:00:00+00:00,2.0,2,0.47375133633613586,0.47084924578666687,,,,0
24h,17,2023-09-07 11:00:00+00:00,2023-09-07 12:00:00+00:00,2.0,2,0.197426900267601,0.19277697801589966,,,,0
24h,17,2023-09-07 14:00:00+00:00,2023-09-08 03:00:00+00:00,14.0,14,0.6487386226654053,0.3806901276111603,,,,0
24h,17,2023-09-10 05:00:00+00:00,2023-09-10 05:00:00+00:00,1.0,1,0.2625916004180908,0.2625916004180908,,,,0
24h,17,2023-09-10 09:00:00+00:00,2023-09-11 00:00:00+00:00,16.0,16,0.6517616510391235,0.47826632857322693,,,,0
24h,17,2023-09-11 17:00:00+00:00,2023-09-11 18:00:00+00:00,2.0,2,0.1634911447763443,0.16089925169944763,,,,0
24h,17,2023-09-12 17:00:00+00:00,2023-09-12 18:00:00+00:00,2.0,2,0.26199451088905334,0.25237196683883667,,,,0
24h,17,2023-09-13 03:00:00+00:00,2023-09-13 07:00:00+00:00,5.0,5,0.47078314423561096,0.23037195205688477,,,,0
24h,17,2023-09-14 16:00:00+00:00,2023-09-14 16:00:00+00:00,1.0,1,0.16058588027954102,0.16058588027954102,,,,0
24h,17,2023-09-14 20:00:00+00:00,2023-09-15 06:00:00+00:00,11.0,11,0.8511529564857483,0.5349717140197754,,,,0
24h,17,2023-09-15 08:00:00+00:00,2023-09-15 09:00:00+00:00,2.0,2,0.21577829122543335,0.19692516326904297,,,,0
24h,17,2023-09-17 11:00:00+00:00,2023-09-17 20:00:00+00:00,10.0,10,0.5848208069801331,0.3941633999347687,,,,0
24h,17,2023-09-17 22:00:00+00:00,2023-09-17 23:00:00+00:00,2.0,2,0.1645359992980957,0.15795741975307465,,,,0
24h,17,2023-09-18 03:00:00+00:00,2023-09-18 07:00:00+00:00,5.0,5,0.8805933594703674,0.43554410338401794,,,,0
24h,17,2023-09-18 10:00:00+00:00,2023-09-18 10:00:00+00:00,1.0,1,0.2066768854856491,0.2066768854856491,,,,0
24h,17,2023-09-21 06:00:00+00:00,2023-09-22 12:00:00+00:00,31.0,31,0.9651902318000793,0.7327027916908264,,,,0
24h,17,2023-10-02 00:00:00+00:00,2023-10-02 22:00:00+00:00,23.0,23,0.4397629201412201,0.24141442775726318,,,,0
24h,17,2023-10-03 02:00:00+00:00,2023-10-03 10:00:00+00:00,9.0,9,0.38509485125541687,0.24641582369804382,,,,0
24h,17,2023-10-03 14:00:00+00:00,2023-10-03 16:00:00+00:00,3.0,3,0.23197129368782043,0.20398038625717163,,,,0
24h,17,2023-10-03 18:00:00+00:00,2023-10-03 19:00:00+00:00,2.0,2,0.21687878668308258,0.2061140090227127,,,,0
24h,17,2023-10-03 22:00:00+00:00,2023-10-04 02:00:00+00:00,5.0,5,0.5544407367706299,0.2872750163078308,,,,0
24h,17,2023-10-06 04:00:00+00:00,2023-10-07 08:00:00+00:00,29.0,29,0.9083418846130371,0.6604474782943726,,,,0
24h,17,2023-10-08 01:00:00+00:00,2023-10-09 00:00:00+00:00,24.0,24,0.9802636504173279,0.6894797682762146,,,,0
24h,17,2023-10-09 03:00:00+00:00,2023-10-09 03:00:00+00:00,1.0,1,0.18021084368228912,0.18021084368228912,,,,0
24h,17,2023-10-10 08:00:00+00:00,2023-10-10 10:00:00+00:00,3.0,3,0.4846018850803375,0.34281739592552185,,,,0
24h,17,2023-10-13 03:00:00+00:00,2023-10-14 06:00:00+00:00,28.0,28,0.9530344009399414,0.6204115152359009,,,,0
24h,17,2023-10-17 22:00:00+00:00,2023-10-17 22:00:00+00:00,1.0,1,0.150492325425148,0.150492325425148,,,,0
24h,17,2023-10-18 08:00:00+00:00,2023-10-18 08:00:00+00:00,1.0,1,0.18506976962089539,0.18506976962089539,,,,0
24h,17,2023-10-19 13:00:00+00:00,2023-10-20 00:00:00+00:00,12.0,12,0.5996463298797607,0.38823390007019043,,,,0
24h,18,2024-07-13 07:00:00+00:00,2024-07-13 07:00:00+00:00,1.0,1,0.1596306711435318,0.1596306711435318,,,,0
24h,18,2024-07-13 09:00:00+00:00,2024-07-13 10:00:00+00:00,2.0,2,0.18271170556545258,0.1733684241771698,,,,0
24h,18,2024-07-14 06:00:00+00:00,2024-07-14 06:00:00+00:00,1.0,1,0.17830681800842285,0.17830681800842285,,,,0
24h,18,2024-07-14 10:00:00+00:00,2024-07-15 01:00:00+00:00,16.0,16,0.7467682957649231,0.4024873971939087,,,,0
24h,18,2024-07-16 03:00:00+00:00,2024-07-16 06:00:00+00:00,4.0,4,0.34439417719841003,0.26450204849243164,,,,0
24h,18,2024-07-24 08:00:00+00:00,2024-07-24 08:00:00+00:00,1.0,1,0.1853182017803192,0.1853182017803192,,,,0
24h,18,2024-07-26 19:00:00+00:00,2024-07-26 19:00:00+00:00,1.0,1,0.1583712100982666,0.1583712100982666,,,,0
24h,18,2024-08-28 16:00:00+00:00,2024-08-28 19:00:00+00:00,4.0,4,0.23187129199504852,0.19479157030582428,,,,0
24h,18,2024-08-28 23:00:00+00:00,2024-08-29 00:00:00+00:00,2.0,2,0.16725270450115204,0.16244809329509735,,,,0
24h,18,2024-08-30 07:00:00+00:00,2024-08-30 07:00:00+00:00,1.0,1,0.27270498871803284,0.27270498871803284,,,,0
24h,18,2024-08-30 11:00:00+00:00,2024-08-30 11:00:00+00:00,1.0,1,0.20307518541812897,0.20307518541812897,,,,0
24h,18,2024-09-05 11:00:00+00:00,2024-09-06 02:00:00+00:00,16.0,16,0.9596244692802429,0.5755519866943359,,,,0
24h,18,2024-09-07 10:00:00+00:00,2024-09-07 10:00:00+00:00,1.0,1,0.18693624436855316,0.18693624436855316,,,,0
24h,18,2024-09-13 02:00:00+00:00,2024-09-14 04:00:00+00:00,27.0,27,0.990820586681366,0.6454363465309143,,,,0
24h,18,2024-09-16 21:00:00+00:00,2024-09-16 21:00:00+00:00,1.0,1,0.1660616397857666,0.1660616397857666,,,,0
24h,18,2024-09-23 18:00:00+00:00,2024-09-24 13:00:00+00:00,20.0,20,0.8800956606864929,0.679516077041626,,,,0
24h,18,2024-09-24 15:00:00+00:00,2024-09-24 15:00:00+00:00,1.0,1,0.1930980682373047,0.1930980682373047,,,,0
24h,18,2024-10-13 03:00:00+00:00,2024-10-13 03:00:00+00:00,1.0,1,0.18433795869350433,0.18433795869350433,,,,0
24h,18,2024-10-13 12:00:00+00:00,2024-10-13 12:00:00+00:00,1.0,1,0.17422161996364594,0.17422161996364594,,,,0
