site,timestamp_utc,water_temperature,water_temp_grade_code,water_temp_grade_desc,water_temperature_note,sp_conductance,sp_conductance_grade_code,sp_conductance_grade_desc,sp_conductance_note,ph,ph_grade_code,ph_grade_desc,ph_note,do_concentration,do_concentration_grade_code,do_concentration_grade_desc,do_concentration_note,do_saturation,do_saturation_grade_code,do_saturation_grade_desc,do_saturation_note,turbidity,turbidity_grade_code,turbidity_grade_desc,turbidity_note,water_temperature (deg C)_flag,sp_conductance (mS/cm)_flag,pH (pH units)_flag,do_concentration (mg/L)_flag,do_saturation (percent)_flag,turbidity (FNU)_flag
KLGO,2011-04-26 16:00:51.000,3.47,31,Good,,0.081,31,Good,,7.88,31,Good,,13.55,31,Good,,101.9,31,Good,,1.7,31,Good,,,,,,,
KLGO,2011-04-26 17:00:51.000,3.41,31,Good,,0.081,31,Good,,7.88,31,Good,,13.64,31,Good,,102.5,31,Good,,1.8,31,Good,,,,,,,
KLGO,2011-04-26 18:00:51.000,3.54,31,Good,,0.08,31,Good,,7.88,31,Good,,13.7,31,Good,,103.2,31,Good,,1.8,31,Good,,,,,,,
KLGO,2011-04-26 19:00:51.000,3.72,31,Good,,0.08,31,Good,,7.89,31,Good,,13.72,31,Good,,103.9,31,Good,,2,31,Good,,,,,,,
KLGO,2011-04-26 20:00:51.000,3.98,31,Good,,0.08,31,Good,,7.89,31,Good,,13.71,31,Good,,104.6,31,Good,,2,31,Good,,,,,,,
KLGO,2011-04-26 21:00:51.000,4.37,31,Good,,0.08,31,Good,,7.9,31,Good,,13.68,31,Good,,105.4,31,Good,,2,31,Good,,,,,,,
KLGO,2011-04-26 22:00:50.000,4.61,31,Good,,0.079,31,Good,,7.9,31,Good,,13.63,31,Good,,105.6,31,Good,,2.3,31,Good,,,,,,,
KLGO,2011-04-26 23:00:51.000,4.83,31,Good,,0.079,31,Good,,7.91,31,Good,,13.57,31,Good,,105.8,31,Good,,2.5,31,Good,,,,,,,
KLGO,2011-04-27 00:00:51.000,4.95,31,Good,,0.079,31,Good,,7.91,31,Good,,13.52,31,Good,,105.8,31,Good,,2.5,31,Good,,,,,,,
KLGO,2011-04-27 01:00:51.000,5.07,31,Good,,0.079,31,Good,,7.92,31,Good,,13.46,31,Good,,105.6,31,Good,,2.5,31,Good,,,,,,,
KLGO,2011-04-27 02:00:51.000,5.18,31,Good,,0.079,31,Good,,7.92,31,Good,,13.41,31,Good,,105.5,31,Good,,2.6,31,Good,,,,,,,
KLGO,2011-04-27 03:00:50.000,5.36,31,Good,,0.079,31,Good,,7.93,31,Good,,13.34,31,Good,,105.5,31,Good,,2.5,31,Good,,,,,,,
KLGO,2011-04-27 04:00:51.000,5.28,31,Good,,0.079,31,Good,,7.93,31,Good,,13.29,31,Good,,104.8,31,Good,,2.5,31,Good,,,,,,,
KLGO,2011-04-27 05:00:51.000,5.16,31,Good,,0.079,31,Good,,7.92,31,Good,,13.22,31,Good,,103.9,31,Good,,2.7,31,Good,,,,,,,
KLGO,2011-04-27 06:00:51.000,4.89,31,Good,,0.079,31,Good,,7.92,31,Good,,13.18,31,Good,,102.9,31,Good,,3.5,31,Good,,,,,,,
KLGO,2011-04-27 07:00:51.000,4.62,31,Good,,0.079,31,Good,,7.9,31,Good,,13.19,31,Good,,102.3,31,Good,,3.1,31,Good,,,,,,,
KLGO,2011-04-27 08:00:51.000,4.37,31,Good,,0.079,31,Good,,7.89,31,Good,,13.22,31,Good,,101.9,31,Good,,3.1,31,Good,,,,,,,
KLGO,2011-04-27 09:00:51.000,4.09,31,Good,,0.079,31,Good,,7.89,31,Good,,13.29,31,Good,,101.6,31,Good,,3.5,31,Good,,,,,,,
KLGO,2011-04-27 10:00:51.000,3.8,31,Good,,0.079,31,Good,,7.88,31,Good,,13.37,31,Good,,101.4,31,Good,,3.6,31,Good,,,,,,,
KLGO,2011-04-27 11:00:51.000,3.48,31,Good,,0.079,31,Good,,7.87,31,Good,,13.47,31,Good,,101.4,31,Good,,3.2,31,Good,,,,,,,
KLGO,2011-04-27 12:00:51.000,3.12,31,Good,,0.079,31,Good,,7.87,31,Good,,13.6,31,Good,,101.4,31,Good,,3.2,31,Good,,,,,,,
KLGO,2011-04-27 13:00:51.000,2.76,31,Good,,0.078,31,Good,,7.86,31,Good,,13.74,31,Good,,101.4,31,Good,,3.2,31,Good,,,,,,,
KLGO,2011-04-27 14:00:51.000,2.42,31,Good,,0.078,31,Good,,7.85,31,Good,,13.86,31,Good,,101.4,31,Good,,3.1,31,Good,,,,,,,
KLGO,2011-04-27 15:00:51.000,2.13,31,Good,,0.078,31,Good,,7.85,31,Good,,13.98,31,Good,,101.5,31,Good,,2.9,31,Good,,,,,,,
KLGO,2011-04-27 16:00:52.000,1.91,31,Good,,0.078,31,Good,,7.85,31,Good,,14.09,31,Good,,101.6,31,Good,,2.7,31,Good,,,,,,,
KLGO,2011-04-27 17:00:51.000,1.75,31,Good,,0.078,31,Good,,7.85,31,Good,,14.19,31,Good,,101.9,31,Good,,2.9,31,Good,,,,,,,
KLGO,2011-04-27 18:00:51.000,1.64,31,Good,,0.078,31,Good,,7.85,31,Good,,14.27,31,Good,,102.2,31,Good,,3.2,31,Good,,,,,,,
KLGO,2011-04-27 19:00:51.000,1.84,31,Good,,0.078,31,Good,,7.85,31,Good,,14.31,31,Good,,103.1,31,Good,,3.7,31,Good,,,,,,,
KLGO,2011-04-27 20:00:51.000,2.52,31,Good,,0.078,31,Good,,7.85,31,Good,,14.27,31,Good,,104.6,31,Good,,3.6,31,Good,,,,,,,
KLGO,2011-04-27 21:00:52.000,3.42,31,Good,,0.078,31,Good,,7.86,31,Good,,14.17,31,Good,,106.4,31,Good,,3.4,31,Good,,,,,,,
KLGO,2011-04-27 22:00:51.000,4.36,31,Good,,0.078,31,Good,,7.86,31,Good,,13.99,31,Good,,107.8,31,Good,,3.6,31,Good,,,,,,,
KLGO,2011-04-27 23:00:51.000,5.24,31,Good,,0.079,31,Good,,7.87,31,Good,,13.79,31,Good,,108.7,31,Good,,4.3,31,Good,,,,,,,
KLGO,2011-04-28 00:00:51.000,6.12,31,Good,,0.079,31,Good,,7.89,31,Good,,13.55,31,Good,,109.2,31,Good,,3.4,31,Good,,,,,,,
KLGO,2011-04-28 01:00:51.000,6.71,31,Good,,0.079,31,Good,,7.89,31,Good,,13.34,31,Good,,109.2,31,Good,,3.1,31,Good,,,,,,,
KLGO,2011-04-28 02:00:51.000,7,31,Good,,0.079,31,Good,,7.91,31,Good,,13.17,31,Good,,108.5,31,Good,,2.9,31,Good,,,,,,,
KLGO,2011-04-28 03:00:51.000,6.84,31,Good,,0.08,31,Good,,7.91,31,Good,,13.07,31,Good,,107.2,31,Good,,2.6,31,Good,,,,,,,
KLGO,2011-04-28 04:00:51.000,6.51,31,Good,,0.08,31,Good,,7.92,31,Good,,12.98,31,Good,,105.6,31,Good,,2.8,31,Good,,,,,,,
KLGO,2011-04-28 05:00:51.000,6.17,31,Good,,0.08,31,Good,,7.92,31,Good,,12.9,31,Good,,104.1,31,Good,,2.6,31,Good,,,,,,,
KLGO,2011-04-28 06:00:51.000,5.75,31,Good,,0.08,31,Good,,7.91,31,Good,,12.87,31,Good,,102.7,31,Good,,2.3,31,Good,,,,,,,
KLGO,2011-04-28 07:00:51.000,5.57,31,Good,,0.081,31,Good,,7.91,31,Good,,12.83,31,Good,,102,31,Good,,2.5,31,Good,,,,,,,
KLGO,2011-04-28 08:00:51.000,5.39,31,Good,,0.08,31,Good,,7.9,31,Good,,12.84,31,Good,,101.6,31,Good,,2.5,31,Good,,,,,,,
KLGO,2011-04-28 09:00:51.000,5.02,31,Good,,0.081,31,Good,,7.89,31,Good,,12.96,31,Good,,101.5,31,Good,,2.3,31,Good,,,,,,,
KLGO,2011-04-28 10:00:51.000,4.51,31,Good,,0.081,31,Good,,7.89,31,Good,,13.13,31,Good,,101.5,31,Good,,2.6,31,Good,,,,,,,
KLGO,2011-04-28 11:00:51.000,3.93,31,Good,,0.081,31,Good,,7.88,31,Good,,13.34,31,Good,,101.6,31,Good,,2.5,31,Good,,,,,,,
KLGO,2011-04-28 12:00:51.000,3.42,31,Good,,0.081,31,Good,,7.88,31,Good,,13.52,31,Good,,101.6,31,Good,,2.5,31,Good,,,,,,,
KLGO,2011-04-28 13:00:51.000,2.99,31,Good,,0.081,31,Good,,7.87,31,Good,,13.69,31,Good,,101.7,31,Good,,2.6,31,Good,,,,,,,
KLGO,2011-04-28 14:00:51.000,2.64,31,Good,,0.081,31,Good,,7.87,31,Good,,13.81,31,Good,,101.6,31,Good,,2.6,31,Good,,,,,,,
KLGO,2011-04-28 15:00:51.000,2.33,31,Good,,0.081,31,Good,,7.86,31,Good,,13.95,31,Good,,101.8,31,Good,,2.3,31,Good,,,,,,,
KLGO,2011-04-28 16:00:51.000,2.1,31,Good,,0.081,31,Good,,7.86,31,Good,,14.07,31,Good,,102,31,Good,,2.7,31,Good,,,,,,,
KLGO,2011-04-28 17:00:52.000,1.89,31,Good,,0.081,31,Good,,7.86,31,Good,,14.19,31,Good,,102.3,31,Good,,2.6,31,Good,,,,,,,
KLGO,2011-04-28 18:00:52.000,1.75,31,Good,,0.081,31,Good,,7.86,31,Good,,14.29,31,Good,,102.7,31,Good,,2.5,31,Good,,,,,,,
KLGO,2011-04-28 19:00:51.000,1.95,31,Good,,0.081,31,Good,,7.87,31,Good,,14.34,31,Good,,103.6,31,Good,,2.5,31,Good,,,,,,,
KLGO,2011-04-28 20:00:00.000,10.32,6,Suspect,Inconsistent reading with no known environmental cause,0.12,6,Suspect,Inconsistent reading with no known environmental cause,7.16,6,Suspect,Inconsistent reading with no known environmental cause,11.6,6,Suspect,Inconsistent reading with no known environmental cause,103.5,6,Suspect,Inconsistent reading with no known environmental cause,993.4,6,Suspect,Inconsistent reading with no known environmental cause,,,,,,
KLGO,2011-04-28 21:00:51.000,3.54,6,Suspect,Inconsistent reading with no known environmental cause,0.075,6,Suspect,Inconsistent reading with no known environmental cause,7.84,6,Suspect,Inconsistent reading with no known environmental cause,14.21,6,Suspect,Inconsistent reading with no known environmental cause,107.1,6,Suspect,Inconsistent reading with no known environmental cause,2.2,6,Suspect,Inconsistent reading with no known environmental cause,,,,,,
KLGO,2011-04-28 22:00:51.000,4.52,6,Suspect,Inconsistent reading with no known environmental cause,0.075,6,Suspect,Inconsistent reading with no known environmental cause,7.85,6,Suspect,Inconsistent reading with no known environmental cause,14.03,6,Suspect,Inconsistent reading with no known environmental cause,108.5,6,Suspect,Inconsistent reading with no known environmental cause,2.1,6,Suspect,Inconsistent reading with no known environmental cause,,,,,,
KLGO,2011-04-28 23:00:16.000,12.12,6,Suspect,Inconsistent reading with no known environmental cause,0,6,Suspect,Inconsistent reading with no known environmental cause,8.47,6,Suspect,Inconsistent reading with no known environmental cause,11.05,6,Suspect,Inconsistent reading with no known environmental cause,102.8,6,Suspect,Inconsistent reading with no known environmental cause,,,,,,,,,,
KLGO,2011-04-29 00:00:51.000,6.56,31,Good,,0.082,31,Good,,7.71,31,Good,,13.55,31,Good,,110.5,31,Good,,2,31,Good,,,,,,,
KLGO,2011-04-29 01:00:51.000,7.09,31,Good,,0.083,31,Good,,7.67,31,Good,,13.33,31,Good,,110.1,31,Good,,2.2,31,Good,,,,,,,
KLGO,2011-04-29 02:00:51.000,7.33,31,Good,,0.083,31,Good,,7.67,31,Good,,13.15,31,Good,,109.3,31,Good,,2.1,31,Good,,,,,,,
KLGO,2011-04-29 03:00:51.000,7.31,31,Good,,0.082,31,Good,,7.68,31,Good,,13,31,Good,,108,31,Good,,2,31,Good,,,,,,,
KLGO,2011-04-29 04:00:51.000,7.01,31,Good,,0.082,31,Good,,7.69,31,Good,,12.92,31,Good,,106.4,31,Good,,2,31,Good,,,,,,,
KLGO,2011-04-29 05:00:51.000,6.59,31,Good,,0.082,31,Good,,7.68,31,Good,,12.87,31,Good,,104.9,31,Good,,2,31,Good,,,,,,,
KLGO,2011-04-29 06:00:51.000,6.15,31,Good,,0.082,31,Good,,7.67,31,Good,,12.86,31,Good,,103.7,31,Good,,2.5,31,Good,,,,,,,
KLGO,2011-04-29 07:00:51.000,5.89,31,Good,,0.082,31,Good,,7.66,31,Good,,12.86,31,Good,,103,31,Good,,2.3,31,Good,,,,,,,
KLGO,2011-04-29 08:00:51.000,5.63,31,Good,,0.082,31,Good,,7.66,31,Good,,12.91,31,Good,,102.7,31,Good,,2.7,31,Good,,,,,,,
KLGO,2011-04-29 09:00:51.000,5.28,31,Good,,0.082,31,Good,,7.65,31,Good,,13.01,31,Good,,102.6,31,Good,,3.1,31,Good,,,,,,,
KLGO,2011-04-29 10:00:51.000,4.82,31,Good,,0.082,31,Good,,7.64,31,Good,,13.16,31,Good,,102.6,31,Good,,3.1,31,Good,,,,,,,
KLGO,2011-04-29 11:00:51.000,4.27,31,Good,,0.083,31,Good,,7.63,31,Good,,13.36,31,Good,,102.7,31,Good,,3.1,31,Good,,,,,,,
KLGO,2011-04-29 12:00:51.000,3.79,31,Good,,0.082,31,Good,,7.62,31,Good,,13.54,31,Good,,102.8,31,Good,,3.6,31,Good,,,,,,,
KLGO,2011-04-29 13:00:51.000,3.42,31,Good,,0.082,31,Good,,7.61,31,Good,,13.7,31,Good,,103,31,Good,,3.7,31,Good,,,,,,,
KLGO,2011-04-29 14:00:51.000,3.16,31,Good,,0.082,31,Good,,7.6,31,Good,,13.83,31,Good,,103.2,31,Good,,3.8,31,Good,,,,,,,
KLGO,2011-04-29 15:00:51.000,2.97,31,Good,,0.081,31,Good,,7.6,31,Good,,13.94,31,Good,,103.5,31,Good,,3.7,31,Good,,,,,,,
KLGO,2011-04-29 16:00:52.000,2.84,31,Good,,0.081,31,Good,,7.6,31,Good,,14.05,31,Good,,103.9,31,Good,,3.4,31,Good,,,,,,,
KLGO,2011-04-29 17:00:52.000,2.82,31,Good,,0.081,31,Good,,7.6,31,Good,,14.13,31,Good,,104.5,31,Good,,4.2,31,Good,,,,,,,
KLGO,2011-04-29 18:00:51.000,2.9,31,Good,,0.081,31,Good,,7.61,31,Good,,14.18,31,Good,,105.1,31,Good,,3.8,31,Good,,,,,,,
KLGO,2011-04-29 19:00:51.000,3.07,31,Good,,0.081,31,Good,,7.62,31,Good,,14.21,31,Good,,105.8,31,Good,,3.5,31,Good,,,,,,,
KLGO,2011-04-29 20:00:51.000,3.35,31,Good,,0.081,31,Good,,7.62,31,Good,,14.19,31,Good,,106.4,31,Good,,3.2,31,Good,,,,,,,
KLGO,2011-04-29 21:00:51.000,3.69,31,Good,,0.081,31,Good,,7.63,31,Good,,14.13,31,Good,,106.9,31,Good,,3,31,Good,,,,,,,
KLGO,2011-04-29 22:00:51.000,4.31,31,Good,,0.082,31,Good,,7.63,31,Good,,14.02,31,Good,,107.9,31,Good,,3.1,31,Good,,,,,,,
KLGO,2011-04-29 23:00:51.000,5.24,31,Good,,0.081,31,Good,,7.64,31,Good,,13.83,31,Good,,109,31,Good,,3.3,31,Good,,,,,,,
KLGO,2011-04-30 00:00:51.000,5.57,31,Good,,0.081,31,Good,,7.65,31,Good,,13.66,31,Good,,108.6,31,Good,,3,31,Good,,,,,,,
KLGO,2011-04-30 01:00:00.000,12.97,6,Suspect,Inconsistent reading with no known environmental cause,1.452,6,Suspect,Inconsistent reading with no known environmental cause,6.47,6,Suspect,Inconsistent reading with no known environmental cause,10.79,6,Suspect,Inconsistent reading with no known environmental cause,102.8,6,Suspect,Inconsistent reading with no known environmental cause,0.6,6,Suspect,Inconsistent reading with no known environmental cause,,,,,,
KLGO,2011-04-30 02:00:16.000,8.41,6,Suspect,Inconsistent reading with no known environmental cause,0,6,Suspect,Inconsistent reading with no known environmental cause,9.06,6,Suspect,Inconsistent reading with no known environmental cause,11.9,6,Suspect,Inconsistent reading with no known environmental cause,101.5,6,Suspect,Inconsistent reading with no known environmental cause,1.6,6,Suspect,Inconsistent reading with no known environmental cause,,,,,,
KLGO,2011-04-30 03:00:51.000,5.06,31,Good,,0.082,31,Good,,7.68,31,Good,,12.53,31,Good,,98.3,31,Good,,2.8,31,Good,,,,,,,
KLGO,2011-04-30 04:00:51.000,5.01,31,Good,,0.082,31,Good,,7.66,31,Good,,12.48,31,Good,,97.8,31,Good,,2.8,31,Good,,,,,,,
KLGO,2011-04-30 05:00:51.000,4.97,31,Good,,0.082,31,Good,,7.66,31,Good,,12.43,31,Good,,97.2,31,Good,,2.7,31,Good,,,,,,,
KLGO,2011-04-30 06:00:51.000,4.93,31,Good,,0.082,31,Good,,7.66,31,Good,,12.39,31,Good,,96.8,31,Good,,2.5,31,Good,,,,,,,
KLGO,2011-04-30 07:00:51.000,4.79,31,Good,,0.082,31,Good,,7.65,31,Good,,12.4,31,Good,,96.6,31,Good,,2.5,31,Good,,,,,,,
KLGO,2011-04-30 08:00:51.000,4.59,31,Good,,0.082,31,Good,,7.64,31,Good,,12.46,31,Good,,96.5,31,Good,,2.7,31,Good,,,,,,,
KLGO,2011-04-30 09:00:51.000,4.38,31,Good,,0.082,31,Good,,7.64,31,Good,,12.52,31,Good,,96.5,31,Good,,2.8,31,Good,,,,,,,
KLGO,2011-04-30 10:00:51.000,4.2,31,Good,,0.082,31,Good,,7.63,31,Good,,12.58,31,Good,,96.5,31,Good,,2.9,31,Good,,,,,,,
KLGO,2011-04-30 11:00:51.000,4.03,31,Good,,0.082,31,Good,,7.63,31,Good,,12.63,31,Good,,96.5,31,Good,,2.9,31,Good,,,,,,,
KLGO,2011-04-30 12:00:51.000,3.87,31,Good,,0.085,31,Good,,7.63,31,Good,,12.69,31,Good,,96.5,31,Good,,3,31,Good,,,,,,,
KLGO,2011-04-30 13:00:51.000,3.71,31,Good,,0.085,31,Good,,7.62,31,Good,,12.75,31,Good,,96.5,31,Good,,2.8,31,Good,,,,,,,
KLGO,2011-04-30 14:00:51.000,3.57,31,Good,,0.085,31,Good,,7.62,31,Good,,12.8,31,Good,,96.6,31,Good,,2.9,31,Good,,,,,,,
KLGO,2011-04-30 15:00:52.000,3.44,31,Good,,0.083,31,Good,,7.62,31,Good,,12.86,31,Good,,96.7,31,Good,,2.8,31,Good,,,,,,,
KLGO,2011-04-30 16:00:51.000,3.35,31,Good,,0.082,31,Good,,7.62,31,Good,,12.94,31,Good,,97,31,Good,,2.9,31,Good,,,,,,,
KLGO,2011-04-30 17:00:51.000,3.32,31,Good,,0.082,31,Good,,7.63,31,Good,,13.01,31,Good,,97.5,31,Good,,3.4,31,Good,,,,,,,
KLGO,2011-04-30 18:00:51.000,3.36,31,Good,,0.082,31,Good,,7.63,31,Good,,13.05,31,Good,,97.9,31,Good,,2.9,31,Good,,,,,,,
KLGO,2011-04-30 19:00:51.000,3.5,31,Good,,0.082,31,Good,,7.64,31,Good,,13.08,31,Good,,98.5,31,Good,,3.1,31,Good,,,,,,,
KLGO,2011-04-30 20:00:51.000,3.74,31,Good,,0.082,31,Good,,7.64,31,Good,,13.08,31,Good,,99.2,31,Good,,3.2,31,Good,,,,,,,
KLGO,2011-04-30 21:00:51.000,3.99,31,Good,,0.082,31,Good,,7.65,31,Good,,13.06,31,Good,,99.6,31,Good,,3.2,31,Good,,,,,,,
KLGO,2011-04-30 22:00:51.000,4.22,31,Good,,0.082,31,Good,,7.65,31,Good,,13.01,31,Good,,99.9,31,Good,,3.2,31,Good,,,,,,,
KLGO,2011-04-30 23:00:52.000,4.42,31,Good,,0.083,31,Good,,7.66,31,Good,,12.96,31,Good,,99.9,31,Good,,3,31,Good,,,,,,,
KLGO,2011-05-01 00:00:51.000,4.67,31,Good,,0.083,31,Good,,7.66,31,Good,,12.9,31,Good,,100.1,31,Good,,3,31,Good,,,,,,,
KLGO,2011-05-01 01:00:51.000,4.86,31,Good,,0.083,31,Good,,7.67,31,Good,,12.82,31,Good,,100,31,Good,,3.3,31,Good,,,,,,,
KLGO,2011-05-01 02:00:51.000,4.86,31,Good,,0.083,31,Good,,7.68,31,Good,,12.74,31,Good,,99.4,31,Good,,3.1,31,Good,,,,,,,
KLGO,2011-05-01 03:00:51.000,4.76,31,Good,,0.083,31,Good,,7.67,31,Good,,12.7,31,Good,,98.8,31,Good,,2.8,31,Good,,,,,,,
KLGO,2011-05-01 04:00:51.000,4.66,31,Good,,0.083,31,Good,,7.67,31,Good,,12.66,31,Good,,98.3,31,Good,,3.2,31,Good,,,,,,,
KLGO,2011-05-01 05:00:51.000,4.58,31,Good,,0.084,31,Good,,7.67,31,Good,,12.62,31,Good,,97.7,31,Good,,2.7,31,Good,,,,,,,
KLGO,2011-05-01 06:00:52.000,4.49,31,Good,,0.084,31,Good,,7.66,31,Good,,12.58,31,Good,,97.2,31,Good,,3.1,31,Good,,,,,,,
KLGO,2011-05-01 07:00:51.000,4.42,31,Good,,0.084,31,Good,,7.65,31,Good,,12.57,31,Good,,97,31,Good,,2.8,31,Good,,,,,,,
KLGO,2011-05-01 08:00:51.000,4.35,31,Good,,0.084,31,Good,,7.65,31,Good,,12.56,31,Good,,96.7,31,Good,,3,31,Good,,,,,,,
KLGO,2011-05-01 09:00:52.000,4.25,31,Good,,0.084,31,Good,,7.64,31,Good,,12.58,31,Good,,96.6,31,Good,,2.9,31,Good,,,,,,,
KLGO,2011-05-01 10:00:52.000,4.14,31,Good,,0.084,31,Good,,7.64,31,Good,,12.61,31,Good,,96.5,31,Good,,3.1,31,Good,,,,,,,
KLGO,2011-05-01 11:00:52.000,4,31,Good,,0.084,31,Good,,7.63,31,Good,,12.64,31,Good,,96.5,31,Good,,2.9,31,Good,,,,,,,
KLGO,2011-05-01 12:00:52.000,3.87,31,Good,,0.084,31,Good,,7.63,31,Good,,12.69,31,Good,,96.5,31,Good,,2.9,31,Good,,,,,,,
KLGO,2011-05-01 13:00:51.000,3.72,31,Good,,0.084,31,Good,,7.63,31,Good,,12.73,31,Good,,96.5,31,Good,,2.8,31,Good,,,,,,,
KLGO,2011-05-01 14:00:51.000,3.6,31,Good,,0.084,31,Good,,7.62,31,Good,,12.77,31,Good,,96.4,31,Good,,2.8,31,Good,,,,,,,
KLGO,2011-05-01 15:00:51.000,3.49,31,Good,,0.084,31,Good,,7.62,31,Good,,12.81,31,Good,,96.4,31,Good,,2.6,31,Good,,,,,,,
KLGO,2011-05-01 16:00:51.000,3.44,31,Good,,0.084,31,Good,,7.62,31,Good,,12.86,31,Good,,96.7,31,Good,,2.7,31,Good,,,,,,,
KLGO,2011-05-01 17:00:52.000,3.47,31,Good,,0.084,31,Good,,7.63,31,Good,,12.91,31,Good,,97.1,31,Good,,2.7,31,Good,,,,,,,
KLGO,2011-05-01 18:00:51.000,3.59,31,Good,,0.084,31,Good,,7.64,31,Good,,12.93,31,Good,,97.6,31,Good,,2.8,31,Good,,,,,,,
KLGO,2011-05-01 19:00:51.000,3.65,31,Good,,0.084,31,Good,,7.64,31,Good,,12.94,31,Good,,97.8,31,Good,,2.6,31,Good,,,,,,,
KLGO,2011-05-01 20:00:51.000,3.79,31,Good,,0.084,31,Good,,7.65,31,Good,,12.93,31,Good,,98.1,31,Good,,2.6,31,Good,,,,,,,
KLGO,2011-05-01 21:00:51.000,4.35,31,Good,,0.085,31,Good,,7.65,31,Good,,12.86,31,Good,,99,31,Good,,2.7,31,Good,,,,,,,
KLGO,2011-05-01 22:00:52.000,5.17,31,Good,,0.084,31,Good,,7.66,31,Good,,12.72,31,Good,,100.1,31,Good,,2.6,31,Good,,,,,,,
KLGO,2011-05-01 23:00:51.000,6.04,31,Good,,0.084,31,Good,,7.67,31,Good,,12.51,31,Good,,100.6,31,Good,,2.7,31,Good,,,,,,,
KLGO,2011-05-02 00:00:51.000,6.65,31,Good,,0.085,31,Good,,7.67,31,Good,,12.35,31,Good,,100.9,31,Good,,3.1,31,Good,,,,,,,
KLGO,2011-05-02 01:00:51.000,6.99,31,Good,,0.085,31,Good,,7.68,31,Good,,12.18,31,Good,,100.3,31,Good,,2.8,31,Good,,,,,,,
KLGO,2011-05-02 02:00:51.000,7.06,31,Good,,0.085,31,Good,,7.69,31,Good,,12.07,31,Good,,99.6,31,Good,,2.9,31,Good,,,,,,,
KLGO,2011-05-02 03:00:51.000,6.97,31,Good,,0.085,31,Good,,7.7,31,Good,,11.99,31,Good,,98.7,31,Good,,2.9,31,Good,,,,,,,
